epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1004.62,0.6747,0.46227,0.87881,0.93336,0.88742,0.90978,0.7672,0.5599,0.40811,0.87577,0.000821206,0.000821206,0.000821206
43,1027.11,0.68365,0.47324,0.87745,0.90831,0.88876,0.90331,0.75684,0.56266,0.41311,0.87765,0.000800577,0.000800577,0.000800577
44,1049.81,0.69441,0.46996,0.87686,0.93273,0.8818,0.91046,0.75725,0.56077,0.39753,0.87861,0.000779948,0.000779948,0.000779948
45,1072.94,0.67209,0.44634,0.86727,0.94139,0.87391,0.91566,0.77018,0.55421,0.3904,0.87587,0.000759318,0.000759318,0.000759318
46,1096.47,0.66853,0.45298,0.87909,0.93764,0.88703,0.92016,0.77012,0.56032,0.3953,0.87889,0.000738689,0.000738689,0.000738689
47,1119.19,0.6738,0.45817,0.8786,0.92219,0.89873,0.92453,0.77752,0.55789,0.37983,0.87418,0.00071806,0.00071806,0.00071806
48,1142.53,0.6691,0.45558,0.87346,0.94215,0.8779,0.91442,0.76891,0.54086,0.39157,0.86928,0.000697431,0.000697431,0.000697431
49,1165.2,0.67645,0.44845,0.87617,0.92598,0.88804,0.91953,0.77382,0.57442,0.40037,0.87757,0.000676802,0.000676802,0.000676802
50,1187.69,0.66558,0.44448,0.87363,0.93517,0.86598,0.91944,0.77725,0.54434,0.38145,0.86806,0.000656173,0.000656173,0.000656173
51,1210.53,0.63593,0.43055,0.86539,0.92449,0.89143,0.92375,0.7668,0.55566,0.38649,0.87218,0.000635544,0.000635544,0.000635544
52,1233.03,0.65391,0.43486,0.87427,0.94432,0.86269,0.91666,0.77042,0.55816,0.3882,0.87572,0.000614915,0.000614915,0.000614915
53,1255.82,0.66239,0.43754,0.86788,0.94408,0.87401,0.92398,0.77151,0.55754,0.38408,0.87488,0.000594286,0.000594286,0.000594286
54,1278.52,0.63702,0.43775,0.86941,0.94694,0.8615,0.92079,0.77192,0.56524,0.38644,0.87808,0.000573656,0.000573656,0.000573656
55,1301.13,0.64207,0.43734,0.86314,0.91894,0.88696,0.91839,0.78102,0.54454,0.38477,0.87286,0.000553027,0.000553027,0.000553027
56,1324.32,0.6457,0.42583,0.86428,0.94226,0.87305,0.91751,0.77716,0.55485,0.37358,0.8736,0.000532398,0.000532398,0.000532398
57,1347.36,0.64591,0.42802,0.86187,0.92625,0.88632,0.92342,0.77656,0.5529,0.38319,0.87292,0.000511769,0.000511769,0.000511769
58,1369.88,0.65139,0.4332,0.86684,0.93232,0.79951,0.89473,0.74533,0.56175,0.57296,0.87432,0.00049114,0.00049114,0.00049114
59,1392.85,0.64188,0.42067,0.86325,0.93877,0.87762,0.91472,0.77334,0.54883,0.38297,0.86992,0.000470511,0.000470511,0.000470511
60,1415.53,0.63807,0.41808,0.86681,0.94434,0.88591,0.91962,0.77986,0.54224,0.37421,0.87206,0.000449882,0.000449882,0.000449882
61,1438.1,0.64081,0.4169,0.86961,0.93494,0.88254,0.92093,0.7846,0.53355,0.37629,0.86995,0.000429253,0.000429253,0.000429253
62,1460.6,0.63107,0.42055,0.85871,0.94227,0.88954,0.92244,0.78164,0.54225,0.37205,0.86921,0.000408623,0.000408623,0.000408623
63,1483.39,0.63226,0.42145,0.86313,0.9305,0.88863,0.91733,0.7797,0.54255,0.3839,0.87043,0.000387994,0.000387994,0.000387994
64,1505.87,0.61209,0.40395,0.85537,0.94473,0.88148,0.91648,0.78346,0.53296,0.37293,0.86683,0.000367365,0.000367365,0.000367365
65,1528.51,0.62092,0.40895,0.85966,0.94519,0.88836,0.91369,0.78671,0.54144,0.37675,0.87041,0.000346736,0.000346736,0.000346736
66,1551.62,0.61134,0.40976,0.85675,0.9327,0.88413,0.9131,0.77561,0.54171,0.38078,0.8678,0.000326107,0.000326107,0.000326107
67,1575.21,0.61544,0.41364,0.85584,0.93362,0.86062,0.91397,0.77347,0.54291,0.40865,0.86863,0.000305478,0.000305478,0.000305478
